name,publisher,intelligence,strength,speed,durability,power,combat,full_name,creator,alignment,gender,race,height,weight,eye_color,hair_color,skin_color,super_strength,stamina,durable,super_speed,agility,flight,accelerated_healing,reflexes,intelligent,energy_blasts,stealth,marksmanship,invulnerability,longevity,weapons_master,telepathy,enhanced_senses,force_fields,energy_absorption,enhanced_hearing,teleportation
Alien,Dark Horse Comics,80,30,45,90,60,60,Xenomorph,Dark Horse Comics,bad,Male,Xenomorph XX121,244,169,NA,No Hair,Black,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Amazo,DC Comics,85,100,85,100,100,100,NA,DC Comics,bad,Male,Android,257,173,Red,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
Ammo,Marvel Comics,35,45,35,35,25,70,NA,Marvel Comics,bad,Male,Human,188,101,Brown,Black,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angel,Marvel Comics,85,15,50,65,30,45,Warren Kenneth Worthington III,Marvel Comics,good,Male,NA,183,68,Blue,Blond,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Angel,Marvel Comics,90,30,60,90,100,75,Liam,Dark Horse Comics,good,Male,Vampire,0,0,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Angel Dust,Marvel Comics,75,55,25,45,20,30,Christina,Marvel Comics,good,Female,Mutant,165,57,Yellow,Black,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Angel Salvadore,Marvel Comics,75,10,30,30,60,60,Angel Salvadore Bohusk,Marvel Comics,good,Female,NA,163,54,Brown,Black,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Animal Man,DC Comics,80,50,50,85,75,80,Bernhard Baker,DC Comics,good,Male,Human,183,83,Blue,Blond,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Annihilus,Marvel Comics,90,80,50,60,60,65,Annihilus,Marvel Comics,bad,Male,NA,180,90,Green,No Hair,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ant-Man,Marvel Comics,100,20,25,30,35,35,Henry Jonathan Pym,Marvel Comics,good,Male,Human,211,122,Blue,Blond,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ant-Man II,Marvel Comics,90,20,20,40,55,30,Scott Lang,Marvel Comics,good,Male,Human,183,86,Blue,Blond,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Anti-Venom,Marvel Comics,90,60,65,90,100,85,Edward Charles Allan Brock,Marvel Comics,NA,Male,Symbiote,229,358,Blue,Blond,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Apocalypse,Marvel Comics,100,100,35,100,100,60,En Sabah Nur,Marvel Comics,bad,Male,Mutant,213,135,Red,Black,Grey,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
Aqualad,DC Comics,85,45,45,75,90,60,Garth,DC Comics,good,Male,Atlantean,178,106,Blue,Black,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Aquaman,DC Comics,95,85,80,80,100,80,Orin,DC Comics,good,Male,Atlantean,185,146,Blue,Blond,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Arachne,Marvel Comics,80,50,50,70,75,70,Julia Carpenter,Marvel Comics,good,Female,Human,175,63,Blue,Blond,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Archangel,Marvel Comics,85,15,60,65,35,45,Warren Kenneth Worthington III,Marvel Comics,good,Male,Mutant,183,68,Blue,Blond,Blue,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arclight,Marvel Comics,75,65,25,45,55,70,Philippa Sontag,Marvel Comics,bad,Female,NA,173,57,Violet,Purple,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ardina,Marvel Comics,85,100,100,80,100,25,NA,Marvel Comics,good,Female,Alien,193,98,White,Orange,Gold,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Ares,Marvel Comics,90,85,35,80,85,105,NA,Marvel Comics,good,Male,NA,185,270,Brown,Brown,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ares,Marvel Comics,90,100,75,100,100,100,NA,DC Comics,neutral,Male,God / Eternal,208,162,Red,Black,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Ariel,Marvel Comics,80,10,15,15,95,30,Ariel,Marvel Comics,good,Female,NA,165,59,Purple,Pink,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Armor,Marvel Comics,80,65,15,80,55,55,Hisako Ichiki,Marvel Comics,good,Female,NA,163,50,Black,Black,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atlas,Marvel Comics,85,80,25,100,100,50,Erik Stephan Josten,Marvel Comics,good,Male,Mutant,183,101,Brown,Red,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atlas,Marvel Comics,85,100,45,100,30,80,NA,DC Comics,bad,Male,God / Eternal,198,126,Blue,Brown,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atlas,DC Comics,85,80,25,100,100,50,Erik Stephan Josten,Marvel Comics,good,Male,Mutant,183,101,Brown,Red,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atlas,DC Comics,85,100,45,100,30,80,NA,DC Comics,bad,Male,God / Eternal,198,126,Blue,Brown,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atom,DC Comics,90,95,75,95,90,85,Albert Pratt,DC Comics,good,Male,NA,178,68,Blue,Red,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atom,DC Comics,NA,NA,NA,NA,NA,NA,NA,DC Comics,good,Male,NA,0,0,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atom Girl,DC Comics,75,10,25,30,40,45,Salu Digby,DC Comics,good,Female,NA,168,54,Black,Black,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Atom II,DC Comics,95,10,35,45,40,60,Raymond Palmer,DC Comics,good,Male,Human,183,81,Brown,Auburn,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Aurora,Marvel Comics,85,10,100,60,75,60,Jeanne-Marie Beaubier,Marvel Comics,good,Female,Mutant,180,63,Blue,Black,NA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Azazel,Marvel Comics,80,15,50,95,100,80,NA,Marvel Comics,bad,Male,Neyaphem,183,67,Yellow,Black,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bane,DC Comics,95,40,25,60,55,95,NA,DC Comics,bad,Male,Human,203,180,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Banshee,Marvel Comics,80,10,60,40,65,70,Sean Cassidy,Marvel Comics,good,Male,Human,183,77,Green,Strawberry Blond,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
Bantam,Marvel Comics,65,55,25,55,25,60,Roberto Velasquez,Marvel Comics,good,Male,NA,165,54,Brown,Black,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batgirl,DC Comics,70,45,50,40,45,70,Mary Elizabeth Kane,DC Comics,good,Female,NA,0,0,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batgirl,DC Comics,95,15,35,40,35,90,Barbara Gordon,DC Comics,good,Female,Human,170,57,Green,Red,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batgirl IV,DC Comics,85,15,30,60,50,100,Cassandra Cain,DC Comics,good,Female,Human,165,52,Green,Black,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batgirl VI,DC Comics,90,10,25,30,25,80,Stephanie Brown,DC Comics,good,Female,NA,168,61,Blue,Blond,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman,DC Comics,100,20,30,50,50,100,Bruce Wayne,DC Comics,good,Male,Human,188,95,blue,black,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman,DC Comics,95,40,30,55,65,90,Terrence McGinnis,DC Comics,good,Male,Human,178,77,Blue,Black,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman,DC Comics,100,20,30,50,50,100,Bruce Wayne,DC Comics,good,Male,Human,188,95,blue,black,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman,DC Comics,95,40,30,55,65,90,Terrence McGinnis,DC Comics,good,Male,Human,178,77,Blue,Black,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Batman II,DC Comics,95,15,35,30,40,100,Richard John Grayson,DC Comics,good,Male,Human,178,79,Blue,Black,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Battlestar,Marvel Comics,80,55,35,75,50,75,Lemar Hoskins,Marvel Comics,good,Male,NA,198,133,Brown,Black,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Beak,Marvel Comics,NA,NA,NA,NA,NA,NA,Barnell Bohusk,Marvel Comics,good,Male,NA,175,63,Black,White,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Beast,Marvel Comics,100,50,40,60,45,85,Henry Philip McCoy,Marvel Comics,good,Male,Mutant,180,181,Blue,Blue,Blue,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Beast Boy,DC Comics,80,30,50,70,80,40,Garfield Mark Logan,DC Comics,good,Male,Human,173,68,Green,Green,Green,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Beta Ray Bill,Marvel Comics,85,80,35,95,100,85,Beta Ray Bill (translation of his Korbinite name),Marvel Comics,good,Male,NA,201,216,NA,No Hair,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Big Barda,DC Comics,95,100,80,100,100,100,Barda Free,DC Comics,bad,Female,New God,188,135,Blue,Black,NA,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Big Man,Marvel Comics,90,15,25,30,20,70,Frederick Foswell,Marvel Comics,bad,Male,NA,165,71,Blue,Brown,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Binary,Marvel Comics,95,100,100,100,100,100,Carol Susan Jane Danvers,Marvel Comics,good,Female,NA,180,54,Blue,Blond,NA,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bishop,Marvel Comics,85,15,25,75,100,65,Lucas Bishop,Marvel Comics,good,Male,Mutant,198,124,Brown,No Hair,NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
Bizarro,DC Comics,75,95,100,100,100,85,Bizarro,DC Comics,neutral,Male,Bizarro,191,155,Black,Black,White,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
Black Adam,DC Comics,95,100,95,100,100,60,Teth-Adam,DC Comics,bad,Male,NA,191,113,Brown,Black,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Black Bolt,Marvel Comics,90,70,100,85,100,60,Blackagar Boltagon,Marvel Comics,good,Male,Inhuman,188,95,Blue,Black,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Black Canary,DC Comics,85,10,35,15,45,80,Dinah Drake Lance,DC Comics,good,Female,Human,165,58,Blue,Blond,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Canary,DC Comics,85,10,35,20,55,80,Dinah Laurel Lance,DC Comics,good,Female,Metahuman,170,59,Blue,Blond,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Canary,DC Comics,85,10,35,15,45,80,Dinah Drake Lance,DC Comics,good,Female,Human,165,58,Blue,Blond,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Canary,DC Comics,85,10,35,20,55,80,Dinah Laurel Lance,DC Comics,good,Female,Metahuman,170,59,Blue,Blond,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Cat,Marvel Comics,90,20,35,10,25,70,Felicia Hardy,Marvel Comics,good,Female,Human,178,54,Green,Blond,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Knight III,Marvel Comics,85,10,10,70,45,70,Dane Whitman,Marvel Comics,good,Male,Human,183,86,Brown,Brown,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Lightning,DC Comics,80,15,55,30,70,75,Jefferson Pierce,DC Comics,good,Male,NA,185,90,Brown,No Hair,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
Black Mamba,Marvel Comics,90,10,35,45,90,65,Tanya Sealy,Marvel Comics,bad,Female,NA,170,52,Green,Black,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Manta,DC Comics,90,30,50,60,80,85,NA,DC Comics,bad,Male,Human,188,92,Black,No Hair,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Black Panther,Marvel Comics,95,20,30,60,45,100,T'Challa,Marvel Comics,good,Male,Human,183,90,Brown,Black,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
Black Widow,Marvel Comics,90,15,35,30,40,100,Natalia Alianovna Romanova,Marvel Comics,good,Female,Human,170,59,Green,Auburn,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Blackout,Marvel Comics,85,35,45,80,45,65,NA,Marvel Comics,bad,Male,Demon,191,104,Red,White,White,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Blackwing,Marvel Comics,75,10,35,35,20,60,Joseph Manfredi,Marvel Comics,bad,Male,NA,185,86,Blue,Black,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
