year,lake,water_surface_temp,air_temp,evaporation,lake_precipitation,land_precipitation,runoff,water_level
1959,erie,12,10,859,982,1030,989,173.8
1960,erie,11,9,956,724,734,647,174.1
1961,erie,11,9,902,913,914,639,174.1
1962,erie,11,9,876,780,748,488,173.9
1963,erie,10,8,858,611,603,410,173.7
1964,erie,11,9,898,827,806,487,173.6
1965,erie,10,9,863,893,918,669,173.7
1966,erie,11,9,920,876,877,677,173.9
1967,erie,10,9,876,856,904,828,174
1968,erie,10,9,858,920,936,807,174.2
1969,erie,10,9,844,958,933,902,174.4
1970,erie,10,9,817,875,887,721,174.2
1971,erie,11,9,825,736,774,591,174.3
1972,erie,10,8,829,1024,1030,1013,174.5
1973,erie,12,10,931,935,959,894,174.8
1974,erie,11,9,885,946,895,917,174.7
1975,erie,11,10,929,990,1000,860,174.6
1976,erie,11,8,933,943,888,844,174.6
1977,erie,11,9,827,1156,1062,938,174.3
1978,erie,10,8,808,840,827,779,174.4
1979,erie,10,8,815,1026,986,958,174.4
1980,erie,10,8,885,962,916,761,174.5
1981,erie,11,9,831,1002,1014,949,174.4
1982,erie,11,9,794,984,976,1098,174.4
1983,erie,12,10,1042,1040,983,851,174.5
1984,erie,10,9,774,947,919,927,174.5
1985,erie,11,9,942,1089,1086,1018,174.7
1986,erie,11,9,839,1076,1033,992,174.9
1987,erie,12,10,991,941,875,637,174.7
1988,erie,11,9,956,779,781,522,174.3
1989,erie,11,9,903,899,893,705,174.2
1990,erie,12,10,887,1153,,1214,174.3
1991,erie,13,11,1023,790,,680,174.3
1992,erie,11,9,926,1098,,1065,174.4
1993,erie,11,9,933,892,,946,174.5
1994,erie,11,9,821,892,,655,174.4
1995,erie,12,9,1018,889,,662,174.3
1996,erie,11,9,816,1147,,1089,174.4
1997,erie,12,9,905,952,,1007,174.7
1998,erie,14,12,1052,803,,822,174.6
1999,erie,13,10,1058,855,,583,174.1
2000,erie,11,10,789,1033,,736,
2001,erie,11,11,714,827,,745,
2002,erie,12,10,757,900,,722,
2003,erie,10,9,927,1010,,961,
2004,erie,11,10,982,1009,,965,
2005,erie,,10,1072,911,,982,
2006,erie,,,,1152,,,
2007,erie,,,,997,,,
1883,huron,,,,,924,,
1884,huron,,,,,840,,
1885,huron,,,,,874,,
1886,huron,,,,,861,,
1887,huron,,,,,746,,
1888,huron,,,,,690,,
1889,huron,,,,,761,,
1890,huron,,,,,880,,
1891,huron,,,,,822,,
1892,huron,,,,,824,,
1893,huron,,,,,974,,
1894,huron,,,,,803,,
1895,huron,,,,,709,,
1896,huron,,,,,777,,
1897,huron,,,,,893,,
1898,huron,,,,,810,0,
1899,huron,,,,,790,0,
1900,huron,,,,797,800,0,176.6
1901,huron,,,,779,764,0,176.7
1902,huron,,,,847,842,0,176.6
1903,huron,,,,878,856,0,176.6
1904,huron,,,,728,818,0,176.8
1905,huron,,,,842,824,0,176.8
1906,huron,,,,753,789,0,176.8
1907,huron,,,,695,723,0,176.8
1908,huron,,,,777,744,0,176.8
1909,huron,,,,777,757,0,176.6
1910,huron,,,,746,771,0,176.5
1911,huron,,,,759,744,0,176.4
1912,huron,,,,843,782,0,176.5
1913,huron,,,,719,722,0,176.7
1914,huron,,,,663,653,0,176.6
1915,huron,,,,678,708,588,176.4
1916,huron,,,,851,826,1335,176.6
1917,huron,,,,704,730,1150,176.8
1918,huron,,,,800,823,1084,176.9
1919,huron,,,,758,779,1139,176.8
1920,huron,,,,752,686,975,176.7
1921,huron,,,,820,809,843,176.5
1922,huron,,,,821,763,901,176.5
1923,huron,,,,710,698,820,176.3
1924,huron,,,,786,732,767,176.2
1925,huron,,,,649,698,741,175.9
1926,huron,,,,844,805,984,175.9
1927,huron,,,,795,763,864,176.2
1928,huron,,,,961,974,1560,176.5
1929,huron,,,,851,817,1173,176.9
1930,huron,,,,673,673,974,176.7
1931,huron,,,,745,785,544,176.2
1932,huron,,,,901,908,815,176
1933,huron,,,,825,787,750,175.9
1934,huron,,,,662,688,636,175.8
1935,huron,,,,699,687,573,175.9
1936,huron,,,,759,784,644,176
1937,huron,,,,797,815,737,176
1938,huron,,,,787,827,853,176.1
1939,huron,,,,770,776,675,176.3
1940,huron,,,,848,840,610,176.2
1941,huron,,,,820,829,774,176.1
1942,huron,,,,887,845,830,176.3
1943,huron,,,,888,844,950,176.6
1944,huron,,,,804,737,585,176.6
1945,huron,,,,941,894,805,176.6
1946,huron,,,,710,745,716,176.6
1947,huron,,,,825,853,970,176.6
1948,huron,8,7,718,709,765,655,176.6
1949,huron,9,8,739,797,797,658,176.3
1950,huron,7,6,638,880,844,831,176.3
1951,huron,8,6,633,1009,983,1028,176.7
1952,huron,8,7,627,804,782,809,177.1
1953,huron,9,8,693,841,812,704,177
1954,huron,9,7,712,956,965,926,176.9
1955,huron,9,7,750,771,744,609,176.8
1956,huron,8,6,636,778,790,706,176.5
1957,huron,8,6,678,899,896,759,176.3
1958,huron,8,6,754,667,653,444,176.1
1959,huron,8,6,619,960,940,755,176
1960,huron,8,6,648,817,851,921,176.5
1961,huron,9,7,588,748,802,633,176.4
1962,huron,8,6,680,751,726,581,176.3
1963,huron,8,6,614,734,711,497,175.9
1964,huron,9,7,720,775,783,498,175.7
1965,huron,8,6,649,925,930,840,175.9
1966,huron,8,6,721,737,810,775,176.2
1967,huron,8,6,665,925,953,1027,176.3
1968,huron,8,6,641,858,884,752,176.5
1969,huron,9,6,639,827,876,853,176.7
1970,huron,8,6,650,895,913,863,176.7
1971,huron,9,6,614,853,815,752,176.8
1972,huron,8,5,661,894,911,866,176.9
1973,huron,9,7,627,834,853,921,177.1
1974,huron,8,6,642,825,862,873,177.1
1975,huron,8,7,679,833,894,824,177
1976,huron,9,6,769,834,839,857,176.9
1977,huron,8,6,521,947,930,771,176.5
1978,huron,8,5,621,805,830,754,176.6
1979,huron,7,6,563,870,928,1059,176.8
1980,huron,8,5,663,800,888,824,176.8
1981,huron,8,6,560,781,861,847,176.7
1982,huron,7,6,528,852,911,869,176.6
1983,huron,10,7,749,933,938,914,176.8
1984,huron,8,6,569,932,934,900,176.9
1985,huron,8,6,678,1072,1041,1082,177.1
1986,huron,8,6,614,905,917,944,177.3
1987,huron,9,8,696,809,774,558,177
1988,huron,9,7,748,933,963,872,176.6
1989,huron,8,6,724,768,793,710,176.4
1990,huron,8,7,579,966,984,929,176.3
1991,huron,9,7,703,966,,878,
1992,huron,9,6,662,912,,909,
1993,huron,9,6,634,885,,863,
1994,huron,8,6,573,881,,792,
1995,huron,9,6,771,930,,895,
1996,huron,8,6,625,1010,,1132,
1997,huron,8,6,666,881,,961,
1998,huron,11,8,761,828,,653,
1999,huron,11,8,852,824,,588,
2000,huron,9,7,765,903,,661,
2001,huron,9,8,682,951,,989,
2002,huron,8,7,787,841,,854,
2003,huron,11,6,671,956,,848,
2004,huron,7,6,737,937,,889,
2005,huron,,7,760,840,,713,
2006,huron,,,,977,,,
2007,huron,,,,730,,,
1883,michigan,,,,,1042,,
1884,michigan,,,,,973,,
1885,michigan,,,,,878,,
1886,michigan,,,,,843,,
1887,michigan,,,,,758,,
1888,michigan,,,,,752,,
1889,michigan,,,,,735,,
1890,michigan,,,,,833,,
1891,michigan,,,,,717,,
1892,michigan,,,,,860,,
1893,michigan,,,,,827,,
1894,michigan,,,,,753,,
1895,michigan,,,,,671,,
1896,michigan,,,,,845,,
1897,michigan,,,,,770,,
1898,michigan,,,,,845,,
1899,michigan,,,,,730,,
1900,michigan,,,,809,860,,
1901,michigan,,,,637,731,421,176.6
1902,michigan,,,,801,816,503,176.7
1903,michigan,,,,762,856,753,176.6
1904,michigan,,,,767,798,785,176.6
1905,michigan,,,,878,889,759,176.7
1906,michigan,,,,830,850,932,176.8
1907,michigan,,,,833,786,863,176.8
1908,michigan,,,,741,746,711,176.8
1909,michigan,,,,851,818,705,176.8
1910,michigan,,,,698,648,571,176.6
1911,michigan,,,,868,908,815,176.5
1912,michigan,,,,854,826,921,176.4
1913,michigan,,,,730,765,822,176.5
1914,michigan,,,,787,809,655,176.7
1915,michigan,,,,791,794,696,176.6
1916,michigan,,,,870,880,840,176.4
1917,michigan,,,,668,700,639,176.6
1918,michigan,,,,756,764,615,176.8
1919,michigan,,,,768,780,592,176.9
1920,michigan,,,,735,738,566,176.8
1921,michigan,,,,795,805,491,176.7
1922,michigan,,,,828,836,645,176.5
1923,michigan,,,,745,728,488,176.5
1924,michigan,,,,833,808,623,176.3
1925,michigan,,,,614,667,367,176.2
1926,michigan,,,,862,864,542,176
1927,michigan,,,,822,822,575,175.9
1928,michigan,,,,820,841,725,176.2
1929,michigan,,,,755,786,710,176.4
1930,michigan,,,,544,574,418,176.9
1931,michigan,,,,804,783,297,176.7
1932,michigan,,,,725,772,426,176.2
1933,michigan,,,,813,773,458,176
1934,michigan,,,,732,714,370,175.9
1935,michigan,,,,749,754,492,175.8
1936,michigan,,,,717,697,413,175.9
1937,michigan,,,,756,767,502,176
1938,michigan,,,,891,902,659,175.9
1939,michigan,,,,680,762,579,176.2
1940,michigan,,,,835,844,520,176.3
1941,michigan,,,,880,837,556,176.2
1942,michigan,,,,859,917,666,176.2
1943,michigan,,,,788,807,764,176.4
1944,michigan,,,,734,730,498,176.7
1945,michigan,,,,891,900,575,176.7
1946,michigan,,,,652,700,534,176.6
1947,michigan,,,,806,816,628,176.7
1948,michigan,8,8,726,752,735,524,176.6
1949,michigan,9,9,763,745,791,482,176.6
1950,michigan,7,7,703,817,847,696,176.3
1951,michigan,7,7,596,925,947,751,176.3
1952,michigan,8,8,653,776,750,660,176.8
1953,michigan,9,9,722,715,728,529,177.1
1954,michigan,9,8,721,961,936,598,177
1955,michigan,9,8,821,659,707,505,176.9
1956,michigan,8,8,653,655,714,530,176.8
1957,michigan,8,8,698,775,786,485,176.5
1958,michigan,8,7,699,636,656,403,176.3
1959,michigan,7,8,609,929,938,592,176.1
1960,michigan,8,8,673,920,868,760,176.1
1961,michigan,8,8,645,822,811,540,176.5
1962,michigan,8,7,629,688,692,523,176.4
1963,michigan,7,7,606,655,629,378,176.3
1964,michigan,8,8,669,760,754,371,176
1965,michigan,7,7,580,971,926,635,175.8
1966,michigan,8,8,717,750,741,575,176
1967,michigan,7,7,647,844,848,650,176.2
1968,michigan,8,8,644,838,888,621,176.4
1969,michigan,8,7,658,836,806,671,176.5
1970,michigan,7,8,622,829,839,574,176.8
1971,michigan,7,8,595,759,774,612,176.8
1972,michigan,7,7,654,899,883,670,176.9
1973,michigan,9,9,613,857,870,802,177
1974,michigan,8,8,634,849,830,712,177
1975,michigan,8,8,664,873,909,701,176.9
1976,michigan,9,7,820,673,678,655,176.8
1977,michigan,7,8,553,874,881,500,176.8
1978,michigan,7,7,603,864,860,626,176.5
1979,michigan,6,7,520,822,842,755,176.5
1980,michigan,8,7,649,808,830,600,176.7
1981,michigan,8,8,602,770,809,644,176.7
1982,michigan,7,7,559,875,908,743,176.7
1983,michigan,10,8,731,853,887,728,176.5
1984,michigan,8,8,598,886,871,684,176.7
1985,michigan,8,7,678,1003,1000,860,176.8
1986,michigan,8,8,584,891,901,834,177
1987,michigan,10,9,694,830,782,529,177.1
1988,michigan,9,8,782,792,814,586,176.9
1989,michigan,8,7,729,670,685,581,176.5
1990,michigan,9,8,617,988,969,750,176.4
1991,michigan,9,9,704,896,934,772,176.3
1992,michigan,9,7,666,812,840,752,
1993,michigan,8,7,646,903,896,905,
1994,michigan,8,8,574,781,810,655,
1995,michigan,10,8,756,808,822,605,
1996,michigan,7,7,576,847,851,736,
1997,michigan,8,7,574,749,769,693,
1998,michigan,12,10,690,841,779,547,
1999,michigan,11,9,747,786,822,509,
2000,michigan,11,8,803,896,890,509,
2001,michigan,10,9,582,917,907,660,
2002,michigan,11,9,581,785,824,639,
2003,michigan,9,8,684,762,817,495,
2004,michigan,10,8,704,954,933,729,
2005,michigan,,9,822,692,755,532,
2006,michigan,,,,,,618,
2007,michigan,,,,,,576,
1883,ontario,,,,,894,,
1884,ontario,,,,,867,,
1885,ontario,,,,,909,,
1886,ontario,,,,,895,,
1887,ontario,,,,,771,,
1888,ontario,,,,,905,,
1889,ontario,,,,,1104,,
1890,ontario,,,,,1238,,
1891,ontario,,,,,910,,
1892,ontario,,,,,1023,,
1893,ontario,,,,,1010,,
1894,ontario,,,,,978,,
1895,ontario,,,,,777,,
1896,ontario,,,,,851,,
1897,ontario,,,,,885,,
1898,ontario,,,,,904,0,
1899,ontario,,,,,774,0,
1900,ontario,,,,866,908,299,74.5
1901,ontario,,,,920,975,1702,74.5
1902,ontario,,,,883,947,1926,74.5
1903,ontario,,,,870,919,2033,74.7
1904,ontario,,,,926,958,2521,74.9
1905,ontario,,,,880,925,1790,74.8
1906,ontario,,,,836,891,1722,74.8
1907,ontario,,,,785,807,1952,74.9
1908,ontario,,,,699,795,2295,75.2
1909,ontario,,,,883,841,2180,74.8
1910,ontario,,,,845,873,1825,74.6
1911,ontario,,,,742,805,1775,74.4
1912,ontario,,,,882,931,1959,74.7
1913,ontario,,,,826,865,1400,75.1
1914,ontario,,,,687,798,1595,74.7
1915,ontario,,,,750,853,1165,74.4
1916,ontario,,,,838,938,2004,74.8
1917,ontario,,,,966,878,1700,74.8
1918,ontario,,,,829,877,2236,74.9
1919,ontario,,,,835,844,2308,75
1920,ontario,,,,721,808,1667,74.6
1921,ontario,,,,716,788,1820,74.7
1922,ontario,,,,765,838,1909,74.7
1923,ontario,,,,728,787,1697,74.4
1924,ontario,,,,819,880,2196,74.6
1925,ontario,,,,853,957,2302,74.4
1926,ontario,,,,908,948,2385,74.4
1927,ontario,,,,848,932,2454,74.6
1928,ontario,,,,841,909,2427,74.8
1929,ontario,,,,877,974,2420,75.1
1930,ontario,,,,674,735,2128,75.1
1931,ontario,,,,777,847,1603,74.4
1932,ontario,,,,932,981,2381,74.5
1933,ontario,,,,742,799,1686,74.3
1934,ontario,,,,680,743,1214,74
1935,ontario,,,,725,861,1766,74
1936,ontario,,,,815,880,1924,74.2
1937,ontario,,,,864,963,2004,74.5
1938,ontario,,,,761,867,1783,74.5
1939,ontario,,,,722,787,1496,74.5
1940,ontario,,,,854,935,1715,74.4
1941,ontario,,,,698,782,1339,74.4
1942,ontario,,,,923,1017,1796,74.5
1943,ontario,,,,886,930,2459,75.1
1944,ontario,,,,786,829,1521,74.9
1945,ontario,,,,1061,1126,2603,75
1946,ontario,,,,746,849,1718,75
1947,ontario,,,,959,1023,2604,75.2
1948,ontario,9,8,643,795,917,1671,75.1
1949,ontario,11,9,744,732,828,1536,74.8
1950,ontario,9,8,729,931,951,1986,74.9
1951,ontario,10,8,701,964,1023,2109,75.2
1952,ontario,10,9,702,789,859,1784,75.4
1953,ontario,11,10,704,772,866,1514,75
1954,ontario,10,8,713,928,1013,1933,75
1955,ontario,10,9,780,870,917,1804,75.2
1956,ontario,9,8,632,816,903,2020,74.9
1957,ontario,9,9,701,762,842,1482,74.6
1958,ontario,9,8,764,821,874,1635,74.4
1959,ontario,9,8,670,884,1006,2034,74.5
1960,ontario,9,8,685,757,818,1775,74.7
1961,ontario,9,8,624,812,869,1525,74.6
1962,ontario,9,8,695,808,834,1356,74.6
1963,ontario,8,7,683,706,757,1321,74.7
1964,ontario,9,8,684,717,766,1363,74.3
1965,ontario,9,7,674,876,872,1387,74.4
1966,ontario,9,8,698,771,831,1456,74.7
1967,ontario,9,8,710,813,939,1671,74.9
1968,ontario,9,8,689,892,942,1773,74.8
1969,ontario,9,8,677,811,883,1898,74.8
1970,ontario,9,8,623,902,936,1816,74.7
1971,ontario,9,8,630,815,869,1873,74.7
1972,ontario,9,7,677,1020,1132,2756,74.9
1973,ontario,10,9,646,891,979,2233,75.1
1974,ontario,9,8,642,854,962,2148,75
1975,ontario,10,9,677,900,982,2117,74.8
1976,ontario,9,7,770,961,1070,2813,75
1977,ontario,8,8,554,1048,1103,2660,74.7
1978,ontario,8,7,643,822,870,1949,74.9
1979,ontario,8,8,595,952,988,2336,74.8
1980,ontario,9,7,717,896,933,1667,74.8
1981,ontario,9,8,588,910,972,2021,74.8
1982,ontario,8,8,611,904,938,1928,74.7
1983,ontario,11,9,762,939,965,1809,74.8
1984,ontario,10,8,612,856,976,2174,74.9
1985,ontario,10,8,727,942,998,1905,74.8
1986,ontario,9,8,629,1040,1050,2292,75.1
1987,ontario,11,9,689,858,892,1623,74.8
1988,ontario,10,8,767,780,827,1366,74.7
1989,ontario,9,8,758,876,930,1769,74.7
1990,ontario,9,9,588,1022,1092,2383,74.8
1991,ontario,10,9,723,857,,1702,74.9
1992,ontario,10,8,670,1084,,2299,74.8
1993,ontario,9,8,680,896,,2264,75.1
1994,ontario,9,8,575,865,,2082,74.8
1995,ontario,11,8,787,886,,1453,74.7
1996,ontario,8,8,621,1117,,2848,74.9
1997,ontario,9,8,706,889,,2040,75
1998,ontario,11,10,699,889,,2096,74.9
1999,ontario,12,9,842,887,,1554,74.6
2000,ontario,10,8,790,998,,2174,
2001,ontario,10,10,606,787,,1714,
2002,ontario,11,9,763,876,,2006,
2003,ontario,8,8,652,1000,,2400,
2004,ontario,9,8,678,992,,2430,
2005,ontario,,9,729,932,,2329,
2006,ontario,,,,1073,,,
2007,ontario,,,,851,,,
1910,st. clair,,,,,,,174.9
1911,st. clair,,,,,,,174.7
1912,st. clair,,,,,,,174.9
1913,st. clair,,,,,,,175
1914,st. clair,,,,,,,174.9
1915,st. clair,,,,,,,174.8
1916,st. clair,,,,,,,175
1917,st. clair,,,,,,,175.2
1918,st. clair,,,,,,,175
1919,st. clair,,,,,,,175.1
1920,st. clair,,,,,,,174.8
1921,st. clair,,,,,,,174.9
1922,st. clair,,,,,,,174.8
1923,st. clair,,,,,,,174.7
1924,st. clair,,,,,,,174.7
1925,st. clair,,,,,,,174.5
1926,st. clair,,,,,,,174.4
1927,st. clair,,,,,,,174.6
1928,st. clair,,,,,,,174.8
1929,st. clair,,,,,,,175.3
1930,st. clair,,,,,,,175.1
1931,st. clair,,,,,,,174.5
1932,st. clair,,,,,,,174.6
1933,st. clair,,,,,,,174.6
1934,st. clair,,,,,,,174.3
1935,st. clair,,,,,,,174.4
1936,st. clair,,,,,,,174.4
1937,st. clair,,,,,,,174.6
1938,st. clair,,,,,,,174.7
1939,st. clair,,,,,,,174.8
1940,st. clair,,,,,,,174.7
1941,st. clair,,,,,,,174.6
1942,st. clair,,,,,,,174.8
1943,st. clair,,,,,,,175.1
1944,st. clair,,,,,,,175
1945,st. clair,,,,,,,175.1
1946,st. clair,,,,,,,175
1947,st. clair,,,,,,,175.1
1948,st. clair,10,9,804,,,,175.1
1949,st. clair,11,10,917,,,,175
1950,st. clair,10,8,776,,,,174.9
1951,st. clair,10,9,782,,,,175.2
1952,st. clair,11,10,877,,,,175.5
1953,st. clair,12,11,893,,,,175.4
1954,st. clair,11,10,842,,,,175.2
1955,st. clair,12,10,944,,,,175.3
1956,st. clair,10,9,764,,,,175
1957,st. clair,10,9,831,,,,174.9
1958,st. clair,10,9,875,,,,174.6
1959,st. clair,10,10,825,,,,174.7
1960,st. clair,10,9,815,,,,175
1961,st. clair,11,10,849,,,,175
1962,st. clair,10,9,811,,,,174.8
1963,st. clair,11,8,845,,,,174.6
1964,st. clair,10,9,876,,,,174.4
1965,st. clair,10,9,783,,,,174.5
1966,st. clair,10,9,889,,,,174.8
1967,st. clair,10,9,788,,,,174.9
1968,st. clair,11,9,868,,,,175.1
1969,st. clair,10,9,793,,,,175.3
1970,st. clair,10,9,780,,,,175.2
1971,st. clair,11,10,854,,,,175.3
1972,st. clair,10,9,777,,,,175.4
1973,st. clair,11,10,872,,,,175.7
1974,st. clair,11,9,847,,,,175.6
1975,st. clair,11,10,876,,,,175.5
1976,st. clair,11,9,934,,,,175.5
1977,st. clair,11,9,857,,,,175.2
1978,st. clair,10,8,803,,,,175.3
1979,st. clair,9,8,747,,,,175.3
1980,st. clair,11,9,827,,,,175.4
1981,st. clair,11,9,804,,,,175.3
1982,st. clair,11,9,783,,,,175.3
1983,st. clair,12,9,933,,,,175.4
1984,st. clair,11,9,793,,,,175.5
1985,st. clair,11,9,861,,,,175.7
1986,st. clair,11,10,820,,,,175.9
1987,st. clair,12,11,903,,,,175.6
1988,st. clair,12,10,890,,,,175.2
1989,st. clair,11,9,765,,,,175.1
1990,st. clair,11,10,795,,,,175.1
1991,st. clair,12,11,938,,,,175.2
1992,st. clair,10,9,798,,,,175.2
1993,st. clair,10,9,790,,,,175.4
1994,st. clair,11,9,809,,,,175.3
1995,st. clair,11,10,890,,,,175.2
1996,st. clair,10,9,780,,,,175.3
1997,st. clair,11,10,840,,,,175.6
1998,st. clair,13,12,1016,,,,175.4
1999,st. clair,12,11,989,,,,175
2000,st. clair,12,10,935,,,,
2001,st. clair,12,11,646,,,,
2002,st. clair,12,10,744,,,,
2003,st. clair,11,9,752,,,,
2004,st. clair,12,9,742,,,,
2005,st. clair,,10,816,,,,
1860,superior,,,,,,,183.3
1861,superior,,,,,,,183.3
1862,superior,,,,,,,183.2
1863,superior,,,,,,,183.1
1864,superior,,,,,,,183.1
1865,superior,,,,,,,183.1
1866,superior,,,,,,,183.1
1867,superior,,,,,,,183.2
1868,superior,,,,,,,183.1
1869,superior,,,,,,,183.2
1870,superior,,,,,,,183.3
1871,superior,,,,,,,183.3
1872,superior,,,,,,,183.3
1873,superior,,,,,,,183.5
1874,superior,,,,,,,183.5
1875,superior,,,,,,,183.5
1876,superior,,,,,,,183.6
1877,superior,,,,,,,183.4
1878,superior,,,,,,,183.3
1879,superior,,,,,,,183.1
1880,superior,,,,,,,183.2
1881,superior,,,,,,,183.4
1882,superior,,,,,,,183.4
1883,superior,,,,,,,183.3
1884,superior,,,,,,,183.2
1885,superior,,,,,,,183.3
1886,superior,,,,,,,183.2
1887,superior,,,,,,,183.2
1888,superior,,,,,,,183.4
1889,superior,,,,,,,183.3
1890,superior,,,,,,,183.3
1891,superior,,,,,,,183.2
1892,superior,,,,,,,183.2
1893,superior,,,,,,,183.3
1894,superior,,,,,,,183.5
1895,superior,,,,,,,183.5
1896,superior,,,,,,,183.5
1897,superior,,,,,,,183.5
1898,superior,,,,,,,183.4
1899,superior,,,,,,,183.5
1900,superior,,,,,,,183.5
1901,superior,,,,,,,183.5
1902,superior,,,,,,,183.5
1903,superior,,,,,,,183.6
1904,superior,,,,,,,183.5
1905,superior,,,,,,,183.5
1906,superior,,,,,,,183.5
1907,superior,,,,,,,183.5
1908,superior,,,,,,538,183.4
1909,superior,,,,,,453,183.3
1910,superior,,,,,,178,183.3
1911,superior,,,,,,315,183.1
1912,superior,,,,,,286,183.3
1913,superior,,,,,,417,183.4
1914,superior,,,,,,423,183.4
1915,superior,,,,,,363,183.4
1916,superior,,,,,,579,183.7
1917,superior,,,,,,241,183.5
1918,superior,,,,,,249,183.4
1919,superior,,,,,,352,183.4
1920,superior,,,,,,487,183.5
1921,superior,,,,,,352,183.4
1922,superior,,,,,,369,183.3
1923,superior,,,,,,283,183.3
1924,superior,,,,,,305,183.2
1925,superior,,,,,,348,183.1
1926,superior,,,,,,419,183
1927,superior,,,,,,584,183.4
1928,superior,,,,,,687,183.5
1929,superior,,,,,,345,183.5
1930,superior,,,,,,422,183.5
1931,superior,,,,,,312,183.4
1932,superior,,,,,,417,183.5
1933,superior,,,,,,382,183.5
1934,superior,,,,,,458,183.5
1935,superior,,,,,,531,183.5
1936,superior,,,,,,485,183.5
1937,superior,,,,,,476,183.5
1938,superior,,,,,,571,183.6
1939,superior,,,,,,556,183.6
1940,superior,,,,,,420,183.4
1941,superior,,,,,,598,183.5
1942,superior,,,,,,586,183.6
1943,superior,,,,,,597,183.6
1944,superior,,,,,,626,183.5
1945,superior,,,,,,597,183.6
1946,superior,,,,,,583,183.6
1947,superior,,,,,,632,183.6
1948,superior,6,4,677,703,705,438,183.4
1949,superior,6,4,706,854,819,470,183.5
1950,superior,4,2,661,895,887,772,183.7
1951,superior,5,3,582,887,874,772,183.7
1952,superior,6,5,589,673,749,628,183.7
1953,superior,7,5,628,840,845,653,183.5
1954,superior,7,4,642,722,774,716,183.4
1955,superior,7,5,733,885,846,544,183.4
1956,superior,5,4,637,660,703,545,183.3
1957,superior,5,4,616,675,752,559,183.3
1958,superior,6,4,650,738,760,524,183.3
1959,superior,5,4,644,823,815,603,183.4
1960,superior,5,4,637,768,763,605,183.4
1961,superior,6,4,622,690,750,558,183.3
1962,superior,6,3,630,640,742,509,183.3
1963,superior,6,4,588,640,681,501,183.3
1964,superior,6,4,682,834,925,702,183.4
1965,superior,5,3,616,879,884,682,183.4
1966,superior,5,4,650,711,790,734,183.4
1967,superior,5,3,566,732,743,656,183.4
1968,superior,5,4,534,938,971,801,183.5
1969,superior,6,4,574,653,733,730,183.5
1970,superior,5,4,572,831,907,700,183.5
1971,superior,6,4,579,848,880,764,183.6
1972,superior,5,2,621,828,835,703,183.6
