gene_name,chromosome,phewas phenotype,gene_id,Adipose - Subcutaneous,Adipose - Visceral (Omentum),Adrenal Gland,Artery - Aorta,Artery - Coronary,Artery - Tibial,Bladder,Brain - Amygdala,Brain - Anterior cingulate cortex (BA24),Brain - Caudate (basal ganglia),Brain - Cerebellar Hemisphere,Brain - Cerebellum,Brain - Cortex,Brain - Frontal Cortex (BA9),Brain - Hippocampus,Brain - Hypothalamus,Brain - Nucleus accumbens (basal ganglia),Brain - Putamen (basal ganglia),Brain - Spinal cord (cervical c-1),Brain - Substantia nigra,Breast - Mammary Tissue,Cells - EBV-transformed lymphocytes,Cells - Transformed fibroblasts,Cervix - Ectocervix,Cervix - Endocervix,Colon - Sigmoid,Colon - Transverse,Esophagus - Gastroesophageal Junction,Esophagus - Mucosa,Esophagus - Muscularis,Fallopian Tube,Heart - Atrial Appendage,Heart - Left Ventricle,Kidney - Cortex,Liver,Lung,Minor Salivary Gland,Muscle - Skeletal,Nerve - Tibial,Ovary,Pancreas,Pituitary,Prostate,Skin - Not Sun Exposed (Suprapubic),Skin - Sun Exposed (Lower leg),Small Intestine - Terminal Ileum,Spleen,Stomach,Testis,Thyroid,Uterus,Vagina,Whole Blood
ACSM1,16,Photodermatitis & sunburn,ENSG00000166743.5,0.2611,0.454,0.4567,1.301,1.252,0.8879,2.648,0.1353,0.1136,0.16135,0.65095,0.5769,0.1958,0.1921,0.1456,0.1356,0.1593,0.1655,0.3264,0.16715,0.84555,0.1807,0,2.9435,1.743,0.9107,0.88605,0.88335,0.473,0.668,5.228,0.4199,0.1649,0.8077,1.073,0.8098,1.454,0.12455,0.3303,6.424,0.91765,0.248,3.9895,1.095,0.8553,0.7087,0.5585,1.987,8.837,0.75585,4.414,2.173,0.1579
ACSM1,16,Atopic or contact dermatitis,ENSG00000166743.5,0.2611,0.454,0.4567,1.301,1.252,0.8879,2.648,0.1353,0.1136,0.16135,0.65095,0.5769,0.1958,0.1921,0.1456,0.1356,0.1593,0.1655,0.3264,0.16715,0.84555,0.1807,0,2.9435,1.743,0.9107,0.88605,0.88335,0.473,0.668,5.228,0.4199,0.1649,0.8077,1.073,0.8098,1.454,0.12455,0.3303,6.424,0.91765,0.248,3.9895,1.095,0.8553,0.7087,0.5585,1.987,8.837,0.75585,4.414,2.173,0.1579
ADAM18,8,Skin cancer,ENSG00000168619.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07305,0,0,0.01607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0,0
ADAM18,8,Acne,ENSG00000168619.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07305,0,0,0.01607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,0,0
ADAMTS10,19,Acne,ENSG00000142303.9,40.54,21.2,14.86,66.85,43.64,46.97,17.69,8.0885,11.55,4.857,2.6495,4.328,20.1,15.94,6.974,12.72,7.279,4.789,7.912,7.5275,24.03,0.093745,5.945,27.515,42.07,20.26,10.13,15.86,6.928,14.77,34.82,9.704,3.575,8.347,4.841,21.37,7.795,2.6185,27.68,27.77,5.906,8.247,22.09,13.71,18.15,12.79,11.95,5.1125,6.614,19.005,36.73,24.29,3.285
ADAMTS10,19,Skin cancer,ENSG00000142303.9,40.54,21.2,14.86,66.85,43.64,46.97,17.69,8.0885,11.55,4.857,2.6495,4.328,20.1,15.94,6.974,12.72,7.279,4.789,7.912,7.5275,24.03,0.093745,5.945,27.515,42.07,20.26,10.13,15.86,6.928,14.77,34.82,9.704,3.575,8.347,4.841,21.37,7.795,2.6185,27.68,27.77,5.906,8.247,22.09,13.71,18.15,12.79,11.95,5.1125,6.614,19.005,36.73,24.29,3.285
ADAMTS14,10,Psoriasis,ENSG00000138316.6,0.3825,0.7538,0.299,0.5088,1.141,0.1784,0.9575,2.145,0.7225,3.013,0.5331,0.9223,1.742,1.121,3.138,1.489,1.435,4.3125,3.379,2.695,0.35275,0.07205,0.7356,0.9413,0.8986,1.244,3.45,0.62025,1.483,0.5522,0.806,0.3936,0.2905,0.3047,0.1851,2.546,1.017,0.07944,10.925,0.1133,0.1021,0.2456,0.8819,1.79,1.27,4.399,0.75735,1.04,1.148,0.30425,0.4102,0.7077,0.1798
ADAMTS20,12,Photodermatitis & sunburn,ENSG00000173157.12,0,0,0,0,0,0,0.008061,0.01328,0.01676,0.04017,0,0,0.02069,0.01655,0.009768,0.04127,0.02902,0.01174,0,0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2641,0.0045385,0,0,0
ADARB1,21,Acne,ENSG00000197381.11,14.54,11.66,5.4695,60.42,46.18,119.9,58.66,4.608,8.964,7.2455,59.79,51.9,11.2,13.88,4.917,7.804,8.649,5.9625,4.111,5.693,11.36,0.407,43.42,20.1,14.74,30.97,12.62,62.84,5.22,72.48,16.85,4.542,3.124,4.006,2.589,40.66,6.66,5.4105,14.86,8.213,2.419,6.379,17.455,12.13,15.04,7.613,15.44,6.742,7.258,7.877,25.61,10.24,2.069
ADH7,4,Seborheic dermatitis,ENSG00000196344.7,0.065335,0.03936,0.018895,0.04798,0.04162,0.02392,0.08387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04198,0.008195,0.02319,0.095135,0.0851,0.02293,0.022325,0.033705,203.2,0.03466,0.07451,0.008435,0,0.01326,0.08016,0.09058,0.1894,0,0.0281,0.03784,0.01471,0.02289,0.03525,0.1326,0.2265,0.02552,0.021935,1.827,0.07527,0.01121,0.06142,1.852,0
ADIPOQ,3,Psoriasis,ENSG00000181092.5,621.15,498.7,0.6742,0.5792,24.95,0.3909,1.834,0.06097,0.05647,0.074215,0.07982,0.1152,0.1219,0.08508,0.08413,0.08617,0.06667,0.048725,0.2226,0.068075,234.15,0.072725,0.1007,0.06233,0.09542,0.4723,1.6255,0.52785,0.1238,0.22655,0.189,0.5445,0.3875,0.08754,0.0614,0.1501,8.777,0.8557,23.675,0.1339,0.4932,0.106,0.1332,1.496,5.445,1.214,0.08605,0.61505,0.4929,1.026,0.1204,0.1905,0.1434
ADIPOR2,12,Acne,ENSG00000006831.9,62.275,62.86,78.55,26.31,28.82,29.2,30.59,26.89,19.09,27.14,22.495,25.03,22.945,24.24,34.89,30.21,20.77,28.04,116.6,50.35,52.4,47.85,37.22,34.42,35.7,33.06,34.48,33.345,44.97,33.955,37.61,19.35,14.86,15.63,37.12,66.28,25.06,22.93,86.985,39.54,15.405,35.38,29.675,36.25,39.69,38.3,26.44,41.475,49.4,46.485,42.7,40.79,16.25
ADK,10,Psoriasis,ENSG00000156110.9,20.485,11.33,12.235,13.15,14.18,15.69,14.92,9.034,9.26,11.76,7.419,7,9.2735,11.46,7.956,11.28,14.64,9.237,16.14,10.65,15.995,39.24,32.32,12.46,14.08,11.13,9.3455,9.74,35.43,10.615,8.786,9.78,9.043,10.99,32.86,20.71,14.32,8.7785,21.525,7.834,5.8545,15.75,11.135,28.2,29.09,8.619,11.56,7.872,15.85,21.345,10.12,25.42,4.492
AGBL1,15,Skin cancer,ENSG00000166748.8,0,0,0,0,0,0,0,0.048065,0.04593,0.04234,0,0,0.04228,0.04293,0.05576,0.06024,0.1003,0.01795,0.1068,0.02148,0,0,0,0.02714,0,0.01622,0.010515,0,0,0,0,0,0,0,0,0.1269,0.03089,1.806,0.1201,0,0,0.03248,0.034095,0.0107,0.01106,0,0,0,0.5334,0,0.01108,0,0
AMIGO2,12,Atopic or contact dermatitis,ENSG00000139211.5,12.695,12.85,21.62,47.81,54.03,115.3,27.93,2.4925,3.114,5.6855,0.5792,0.6954,2.362,3.465,1.241,8.35,4.789,3.7785,2.311,2.9395,23.925,0.09305,7.729,41.095,21.87,48.86,13.78,5.994,3.528,4.4935,41.85,3.924,1.03,5.572,1.596,23.42,5.464,0.54295,5.565,40.45,2.0675,7.176,12.925,3.52,5.318,12.51,20.695,3.5395,14.07,6.9145,34.16,18.58,1.352
ANK3,10,Psoriasis,ENSG00000151150.16,0.9686,1.052,0.87735,3.015,8.085,1.448,4.013,8.11,8.37,8.1355,68.155,57.38,11.29,14.97,10.99,10.15,9.636,8.353,10.96,14.005,1.6865,0.05695,0.1017,3.9645,3.956,6.74,5.0865,3.758,3.808,3.4075,2.313,7.344,7.066,4.828,0.9625,2.893,8.571,5.8615,14.89,3.308,1.11,5.342,4.709,7.763,7.137,4.275,3.6605,2.2295,1.891,6.328,4.009,4.825,0.1664
ANKFN1,17,Acne,ENSG00000153930.6,0.3545,0.3607,0.026695,0.04703,0.1411,0.1516,1.257,0.5539,0.4725,0.7774,0.11275,0.1821,0.4255,0.3287,0.3959,1.205,0.7658,0.4213,0.442,0.63275,0.14935,0.01532,0.1998,0.6112,1.224,0.04324,0.06534,0.06131,0.1129,0.03402,0.731,0.02368,0.006656,0.03139,0,0.3664,0.1213,0.012695,0.3662,0.01191,0.01024,0.2753,0.2086,1.615,2.205,0.115,0.014095,0.06587,2.509,0.18115,0.02886,1.087,0
ANKRD6,6,Photodermatitis & sunburn,ENSG00000135299.12,5.855,4.691,2.8385,22.55,14.07,13.19,7.488,4.8335,5.683,3.324,38.21,40.21,6.122,5.553,3.275,6.846,3.92,2.2455,4.137,3.0815,6.0045,1.5565,1.398,7.399,12.97,5.816,2.589,4.3315,4.055,4.157,6.753,4.071,2.127,4.779,2.298,6.942,6.71,1.4135,9.976,18.21,3.0065,6.19,5.86,2.284,2.919,3.021,3.334,2.0835,8.066,9.67,9.04,6.144,0.991
ANKS1A,6,Atopic or contact dermatitis,ENSG00000064999.12,28.27,22.15,28.065,40.64,26.77,23.76,56.46,9.13,13.04,12.89,37.78,47.23,19.725,16.63,10.53,11.94,14.09,10.54,11.79,11.9,28.57,7.199,10.29,24.01,22.93,54.92,25.65,74.75,19.23,80.315,44.59,12.78,12.2,14.68,7.433,38.27,15.34,8.127,46.545,34.69,6.2995,16.6,21.85,25.61,27.68,18.98,44.5,14.25,40.8,31.6,27.41,25.9,7.628
API5,11,Atopic or contact dermatitis,ENSG00000166181.8,45.14,38.28,35.19,47.28,50.32,59.42,53.89,22.615,24.37,25.06,80.965,56.68,25.6,38.78,23.72,27.94,27.01,19.865,44.82,23.02,44.29,88.005,74.78,57.53,60.45,50.77,38.67,47.045,44.23,48.93,54.58,15.63,11.29,24.91,23.99,44.32,42.55,24.085,55.38,48.81,20.635,34.23,45.37,45.03,46.88,40.57,43.83,33.765,31.12,50.875,62.55,50.06,11.14
APOB,2,Seborheic dermatitis,ENSG00000084674.9,0.5823,0.7157,0.042965,3.245,1.057,2.194,0.413,0.02431,0.05204,0.03174,0.017435,0.03335,0.064095,0.05052,0.04078,0.0675,0.03115,0.025485,0.09191,0.082185,0.4061,0.014065,1.242,0.24325,0.4629,0.347,0.15235,0.62325,0.07266,0.64675,0.315,4.371,1.957,0.0883,348.4,0.1447,0.1051,0.10635,0.45065,0.2611,0.06496,0.1334,0.2055,0.22,0.3443,82.28,0.276,0.100705,0.4056,0.06225,0.1097,0.1053,0.02444
ARID5B,10,Psoriasis,ENSG00000150347.10,54.43,44.2,7.576,42.57,40.69,69.46,39.58,4.582,5.315,4.122,2.3475,2.576,7.815,9.129,4.583,5.118,4.187,3.644,8.512,4.599,46.19,11.64,59.27,48.27,50.15,29.09,14.86,23.01,15.23,22.7,44.56,13.27,5.343,9.701,2.359,26.75,24.66,51.175,37.4,29.75,2.079,16.61,24.9,24.47,29.12,18.6,15.01,10.26,10.39,14.94,59.24,37.88,4.544
ASH2L,8,Skin cancer,ENSG00000129691.11,27.495,24.28,19.1,25.58,26.7,29.7,31.39,13.455,16.54,14,36.75,31.36,22.045,25.51,13.19,18.83,17.12,11.03,19.73,13.415,27.085,34.665,29.99,29.87,35.11,24.76,18.97,25.175,24.32,25.63,30.04,13.06,10.02,12.02,8.5,22.53,20.28,18.995,31.01,38.06,10.43,19.48,21.915,24.22,24.68,19.79,24.875,17.97,54.64,21.2,33.1,26.49,14.09
ATOH7,10,Photodermatitis & sunburn,ENSG00000179774.7,0.3058,0.1124,0.36325,0.1426,0.1647,0.2296,0.1112,2.5855,3.456,1.239,5.522,4.044,3.106,4.07,1.876,0.7822,2.077,0.7943,0.2581,0.25545,0.19125,0,0.1053,0.23105,0.5707,0.2236,0.28775,0.17965,0.05721,0.1863,0.4063,0.03774,0.04405,0.725,1.588,0.124,0.1359,0.046545,0.35315,0.2049,0.28915,0.4398,0.1876,0.1986,0.279,0.4521,0.11875,0.38525,0.6348,0.13365,0.418,0.1363,0
ATP13A2,1,Acne,ENSG00000159363.13,22.525,23.19,25.145,20.86,23.63,14.53,22.51,44.275,71.57,46.28,107.5,118,123.35,110,50.56,91.86,65.41,37.385,33.2,61.53,23.94,20.93,24.94,20.5,21.86,17.96,20.85,16.975,28.62,17.54,21.88,7.321,5.556,18.25,4.093,35.06,36.02,10.935,37.89,18.94,32.61,105.1,28.555,24.79,26.88,23.88,47.075,21.77,23.7,34.935,25.9,20.42,12.67
ATP13A2,1,Skin cancer,ENSG00000159363.13,22.525,23.19,25.145,20.86,23.63,14.53,22.51,44.275,71.57,46.28,107.5,118,123.35,110,50.56,91.86,65.41,37.385,33.2,61.53,23.94,20.93,24.94,20.5,21.86,17.96,20.85,16.975,28.62,17.54,21.88,7.321,5.556,18.25,4.093,35.06,36.02,10.935,37.89,18.94,32.61,105.1,28.555,24.79,26.88,23.88,47.075,21.77,23.7,34.935,25.9,20.42,12.67
ATP1B1,1,Atopic or contact dermatitis,ENSG00000143153.8,8.883,14.7,72.91,21.27,24.17,6.724,49.92,166.5,246.5,161.55,334.7,212.5,194.9,562.8,278.9,349.8,213.1,125.95,367.6,267.95,38.46,46.375,13.09,45,36.53,71.41,126.8,59.85,154.1,52.125,65.48,70.11,97.63,325,46.64,77.28,216.8,192.1,17.285,84.82,59.8,126.8,40.925,58.11,79.8,147.1,30.51,298.35,54.27,274.5,177.5,68.42,0.9521
ATP2A2,12,Seborheic dermatitis,ENSG00000174437.12,56.76,60.35,45.965,144.1,126.6,149.5,112.6,41.095,63.65,64.88,114.45,89.93,62.63,117.4,43.79,51.26,64.13,50.4,47.81,41.305,55.525,58.045,146.7,85.835,70.5,68.51,61.05,82.545,107.3,89.47,86.14,536.5,328.6,24.97,32.72,73.42,88.95,763.9,59.055,69.83,20.17,55.73,89.33,57.98,59.41,62.91,35.82,40.5,72.93,76.44,73.08,86.89,7.125
ATP8B1,18,Skin cancer,ENSG00000081923.6,14.99,8.081,7.774,41.3,26.37,37.4,68.33,0.48175,0.9059,0.4691,0.23765,0.3111,1.178,1.677,0.8218,0.5618,0.4399,0.4729,0.9848,0.696,13.665,0.7777,29.76,14.325,16.24,9.409,53.905,11.525,21.89,10.93,14.01,3.305,2.036,4.743,4.507,14.86,21.68,1.192,6.7485,2.413,15.15,4.982,21.72,12.34,13.98,21.48,4.509,35.81,1.41,21.06,14.07,23.69,0.09786
ATP8B1,18,Atopic or contact dermatitis,ENSG00000081923.6,14.99,8.081,7.774,41.3,26.37,37.4,68.33,0.48175,0.9059,0.4691,0.23765,0.3111,1.178,1.677,0.8218,0.5618,0.4399,0.4729,0.9848,0.696,13.665,0.7777,29.76,14.325,16.24,9.409,53.905,11.525,21.89,10.93,14.01,3.305,2.036,4.743,4.507,14.86,21.68,1.192,6.7485,2.413,15.15,4.982,21.72,12.34,13.98,21.48,4.509,35.81,1.41,21.06,14.07,23.69,0.09786
ATXN1,6,Seborheic dermatitis,ENSG00000124788.13,6.1545,5.192,4.0865,11.35,10.34,14.3,10.68,5.4225,9.288,6.591,12.96,12.8,12.2,12.62,5.578,5.357,7.268,5.221,7.099,4.5785,6.0655,10.305,6.186,7.7155,15.73,12.26,6.358,8.1675,5.869,7.491,11.38,3.653,2.889,3.276,2.768,10.31,6.055,7.1875,7.6675,8.777,2.3715,9.682,11.91,6.727,6.038,6.15,7.927,5.0905,5.249,10.835,17.47,10.12,6.826
ATXN2,12,Psoriasis,ENSG00000204842.10,20.815,17.44,19.285,21.53,21.86,26.25,24.37,11.03,12.77,12.36,30.525,33.73,18.015,17.92,12.04,15.98,13.84,9.5745,20.29,13.09,18.545,16.185,22.02,26.155,30.37,24.33,15.14,21.04,11.47,20.88,21.4,11,8.178,12.6,9.02,23.76,14.86,9.8005,32.585,37.06,5.615,26.68,25.79,12.42,14.12,13.34,15.33,11.85,29.93,23.655,30.96,23.48,4.475
ATXN2L,16,Acne,ENSG00000168488.14,77.705,71.74,62.52,89.42,82.89,82.94,102.9,24.845,29.86,29.21,171,209.7,60.175,45.12,29.41,37.53,32.98,23.42,45.86,28.05,81.86,149,79.94,99.885,117,95.41,71.865,81.76,72.44,77.77,92.13,33.38,22.93,50.4,35.76,119.8,80.69,33.13,115.9,113.5,36.7,150.1,108.35,82.44,82.58,86.17,128.15,66.43,266.5,130.25,136,101.4,33.81
BACH2,6,Skin cancer,ENSG00000112182.10,1.6505,1.767,0.1569,2.087,1.248,1.343,1.404,1.113,1.099,1.104,5.696,4.735,1.2745,1.32,1.007,1.232,1.319,0.828,1.44,0.9376,2.668,0.16295,0.1377,1.445,3.196,1.418,0.8818,1.615,0.6906,1.906,2.181,0.7847,0.4313,0.537,1.425,3.761,2.168,2.149,5.8785,4.1,0.7951,1.211,2.85,3.014,3.644,2.282,5.373,0.70165,2.213,1.298,5.221,2.425,1.02
BACH2,6,Psoriasis,ENSG00000112182.10,1.6505,1.767,0.1569,2.087,1.248,1.343,1.404,1.113,1.099,1.104,5.696,4.735,1.2745,1.32,1.007,1.232,1.319,0.828,1.44,0.9376,2.668,0.16295,0.1377,1.445,3.196,1.418,0.8818,1.615,0.6906,1.906,2.181,0.7847,0.4313,0.537,1.425,3.761,2.168,2.149,5.8785,4.1,0.7951,1.211,2.85,3.014,3.644,2.282,5.373,0.70165,2.213,1.298,5.221,2.425,1.02
BAD,11,Acne,ENSG00000002330.9,48.6,42.9,47.06,63.68,65.93,59.25,50.66,47.965,57.93,43.115,45.37,45.81,62.945,66.58,49.49,44.26,47.46,39.12,51.13,48.525,46.025,29.465,45.65,62.745,65.26,60.87,46.225,61.85,40.98,58.645,63.8,43.36,21.3,39.21,27.19,50.95,36.9,15.195,61.785,49.77,15.37,45.1,64.11,48.51,49.11,27.42,33.835,47.985,55.19,69.67,60.57,47.8,17.36
BAG3,10,Seborheic dermatitis,ENSG00000151929.5,69.135,91.86,37.005,139.8,99.28,104.7,107.1,31.68,26.49,44.57,79.1,91.61,25.765,21.96,20.84,39.54,38.52,35.77,41.52,38.235,65.92,1.552,88.29,110.805,62.08,119.4,48.74,98.36,118.1,96.715,103.6,102.3,88.54,37.66,18.1,89.51,75.24,379.1,68.95,40.08,12.43,48.77,75.325,90.67,93.01,25.07,23.165,45.735,54.09,57.645,80.94,97.34,7.547
BAG6,6,Skin cancer,ENSG00000204463.8,104.3,90.09,100.55,112,101.7,110.1,129.8,39.53,54.42,44.185,103.15,106.5,74.01,68.14,36.69,46.52,50.14,36.46,52.79,38.825,104.65,117.45,91.08,137.05,138,105.7,91.25,103,92.41,103.75,121.3,65.81,63.73,63.19,48.58,122.6,92.09,121.85,121.1,132.5,40.08,114.2,116.8,109.6,118.4,100.3,130.65,73.155,308,141.7,131.6,105.6,95.48
BAI3,6,Skin cancer,ENSG00000135298.9,0.8666,0.984,0.62235,2.768,3.957,1.086,2.511,9.2,12.42,11.68,33.71,33.1,19,19.85,7.864,9.74,16.16,8.1205,5.03,6.4485,0.7585,0.01464,0.02581,1.3675,1.751,4.391,1.229,2.7315,0.3024,2.2515,1.275,1.081,0.5379,0.2808,0.1817,2.355,1.331,0.13735,6.29,0.955,0.1092,18.16,1.076,0.499,0.4068,0.6252,0.54575,0.40245,2.793,1.4105,2.525,1.474,0.02734
BAK1,6,Psoriasis,ENSG00000030110.8,10.67,11.93,30.205,13.91,14.77,10.86,18.44,4.8105,5.428,6.0945,12.175,13.57,7.99,7.146,5.474,6.512,6.304,5.575,9.098,6.202,10.945,55.39,21.14,14.95,16.61,16.27,36.96,14.85,33.48,16.785,17.29,9.864,11,14.55,5.496,21.68,14.55,9.4225,15.485,12.02,6.912,16.95,17.275,21.84,24.91,38,42.33,15.68,14.42,13.525,15.02,16.52,23.3
BARD1,2,Photodermatitis & sunburn,ENSG00000138376.6,3.2755,1.895,0.8702,5.308,4.412,6.822,3.728,1.0165,0.8248,0.9445,0.3094,0.4363,0.7936,0.9594,1.01,1.059,0.848,0.769,2.621,1.2525,3.5165,17.265,2.881,6.6605,4.728,4.484,3.0065,3.672,6.683,3.38,3.946,1.262,0.6713,0.6692,0.5195,4.278,2.764,2.336,6.0125,3.643,1.0505,2.146,3.788,13.34,12.05,3.071,3.2075,1.7565,6.159,2.8995,6.145,6.79,0.7096
