STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,NMHELMET,NMHELMETNAME,NMPROPAD,NMPROPADNAME,NMOTHPRO,NMOTHPRONAME,NMREFCLO,NMREFCLONAME,NMLIGHT,NMLIGHTNAME,NMOTHPRE,NMOTHPRENAME
1,Alabama,10209,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10217,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10217,0,2,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10235,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10242,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10248,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10251,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10257,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10264,0,1,1,No,1,No,1,No,2,Yes,1,No,1,No
1,Alabama,10265,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10302,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10302,0,2,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10310,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10317,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10318,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10339,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10346,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10350,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10357,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10368,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10368,0,2,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10368,0,3,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10368,0,4,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10369,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10371,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10373,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10375,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10397,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10409,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10414,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10425,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10428,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10435,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10438,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10443,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10446,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10447,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10450,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10457,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10460,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10465,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10466,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10466,0,2,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10471,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10475,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10476,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10481,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10483,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10483,0,2,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10485,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10492,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10505,0,1,2,Yes,1,No,1,No,1,No,1,No,1,No
1,Alabama,10508,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10516,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10527,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10531,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10534,0,1,1,No,1,No,1,No,2,Yes,1,No,1,No
1,Alabama,10536,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10538,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10544,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10556,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10563,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10571,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10585,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10588,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10599,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10600,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10609,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10611,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10613,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10615,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10624,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10631,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10636,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10638,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10639,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10650,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10652,0,1,2,Yes,1,No,1,No,1,No,2,Yes,1,No
1,Alabama,10654,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10665,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10675,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10683,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10696,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10700,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10702,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10705,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10706,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10719,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10748,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10756,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10758,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10765,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10767,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10777,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10782,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10784,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10788,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10800,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10818,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10833,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10838,0,1,1,No,1,No,1,No,1,No,1,No,1,No
1,Alabama,10839,0,1,1,No,1,No,1,No,1,No,1,No,1,No
2,Alaska,20003,0,1,1,No,1,No,1,No,1,No,1,No,1,No
2,Alaska,20005,0,1,1,No,1,No,1,No,1,No,1,No,1,No
2,Alaska,20014,0,1,1,No,1,No,1,No,1,No,1,No,1,No
2,Alaska,20031,0,1,1,No,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
2,Alaska,20037,0,1,1,No,1,No,1,No,1,No,1,No,1,No
2,Alaska,20044,0,1,1,No,1,No,1,No,8,Not Reported,8,Not Reported,8,Not Reported
2,Alaska,20051,0,1,1,No,1,No,1,No,1,No,1,No,1,No
2,Alaska,20062,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40001,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40004,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40005,0,1,8,Not Reported,8,Not Reported,8,Not Reported,1,No,8,Not Reported,8,Not Reported
4,Arizona,40015,0,1,8,Not Reported,8,Not Reported,8,Not Reported,1,No,8,Not Reported,8,Not Reported
4,Arizona,40026,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40035,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40049,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40051,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40053,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40055,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40059,0,1,2,Yes,8,Not Reported,8,Not Reported,8,Not Reported,2,Yes,8,Not Reported
4,Arizona,40061,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40063,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40064,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40065,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40066,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40069,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40071,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40073,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40085,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40093,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40097,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40102,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40104,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40109,0,1,1,No,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40109,0,2,1,No,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40109,0,3,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40117,0,1,1,No,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40118,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40124,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40138,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40141,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40155,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40158,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40160,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40169,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40171,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40172,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40173,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40175,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40176,0,1,8,Not Reported,8,Not Reported,8,Not Reported,1,No,8,Not Reported,8,Not Reported
4,Arizona,40177,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40178,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40179,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40181,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40184,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40185,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40186,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40186,0,2,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40186,0,3,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40186,0,4,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40187,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40188,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40190,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40192,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40200,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40209,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40215,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40216,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40217,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40218,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40220,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40221,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40222,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40223,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40225,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40228,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40229,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40252,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40254,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40254,0,2,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40254,0,3,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40255,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40262,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40263,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40264,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40269,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40272,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40274,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40282,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40293,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40294,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40296,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40297,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40298,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40303,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40304,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40305,0,1,2,Yes,1,No,1,No,1,No,2,Yes,1,No
4,Arizona,40306,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40308,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40322,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40324,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40327,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40331,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40360,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40362,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40362,0,2,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40365,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40367,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40380,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40381,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40391,0,1,8,Not Reported,8,Not Reported,8,Not Reported,2,Yes,8,Not Reported,8,Not Reported
4,Arizona,40396,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40398,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40400,0,1,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown
4,Arizona,40402,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40404,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40407,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40410,0,1,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown
4,Arizona,40414,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40416,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40417,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40420,0,1,2,Yes,8,Not Reported,8,Not Reported,8,Not Reported,2,Yes,8,Not Reported
4,Arizona,40421,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40425,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40437,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40444,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40452,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40458,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40458,0,2,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40463,0,1,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown,9,Reported as Unknown
4,Arizona,40467,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40478,0,1,1,No,8,Not Reported,8,Not Reported,8,Not Reported,2,Yes,8,Not Reported
4,Arizona,40479,0,1,1,No,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40480,0,1,1,No,1,No,1,No,1,No,1,No,1,No
4,Arizona,40484,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40488,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40492,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40493,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40503,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40507,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40509,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40511,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40515,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40516,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40517,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40522,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
4,Arizona,40525,0,1,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported,8,Not Reported
