"STATE","STATENAME","ST_CASE","VEH_NO","PVE_FORMS","PNUMOCCS","PNUMOCCSNAME","PDAY","PDAYNAME","PMONTH","PMONTHNAME","PHOUR","PHOURNAME","PMINUTE","PMINUTENAME","PHARM_EV","PHARM_EVNAME","PMAN_COLL","PMAN_COLLNAME","PTYPE","PTYPENAME","PHIT_RUN","PHIT_RUNNAME","PREG_STAT","PREG_STATNAME","POWNER","POWNERNAME","PMAKE","PMAKENAME","PMODEL","PMAK_MOD","PBODYTYP","PBODYTYPNAME","PMODYEAR","PMODYEARNAME","PVIN","PVINNAME","PVIN_1","PVIN_2","PVIN_3","PVIN_4","PVIN_5","PVIN_6","PVIN_7","PVIN_8","PVIN_9","PVIN_10","PVIN_11","PVIN_12","PTRAILER","PTRAILERNAME","PMCARR_I1","PMCARR_I1NAME","PMCARR_I2","PMCARR_I2NAME","PMCARR_ID","PMCARR_IDNAME","PGVWR","PGVWRNAME","PV_CONFIG","PV_CONFIGNAME","PCARGTYP","PCARGTYPNAME","PHAZ_INV","PHAZ_INVNAME","PHAZPLAC","PHAZPLACNAME","PHAZ_ID","PHAZ_IDNAME","PHAZ_CNO","PHAZ_CNONAME","PHAZ_REL","PHAZ_RELNAME","PBUS_USE","PBUS_USENAME","PSP_USE","PSP_USENAME","PEM_USE","PEM_USENAME","PUNDERIDE","PUNDERIDENAME","PIMPACT1","PIMPACT1NAME","PVEH_SEV","PVEH_SEVNAME","PTOWED","PTOWEDNAME","PM_HARM","PM_HARMNAME","PVEH_SC1","PVEH_SC1NAME","PVEH_SC2","PVEH_SC2NAME","PFIRE","PFIRENAME","PDEATHS","PTRLR1VIN","PTRLR1VINNAME","PTRLR2VIN","PTRLR2VINNAME","PTRLR3VIN","PTRLR3VINNAME"
1,"Alabama",10255,2,1,0,"None",15,15,5,"May",7,"7:00am-7:59am",10,10,14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",84,"International Harvester/Navistar",881,"International Harvester/Navistar Medium/Heavy - CBE",66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2007,2007,"2HSCNAPR97C4","2HSCNAPR97C4",2,"H","S","C","N","A","P","R",9,7,"C",4,1,"One Trailing Unit",57,"US DOT",3112802,3112802,573112802,573112802,3,"26,001 lbs. or more",6,"Truck Tractor/Semi-Trailer",3,"Flatbed",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",4,"Functional Damage",5,"Not Towed",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,888888888888,"Not Reported",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10280,3,2,0,"None",13,13,5,"May",7,"7:00am-7:59am",5,5,12,"Motor Vehicle In-Transport",7,"Sideswipe - Same Direction",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",86,"Mack",881,"Mack Medium/Heavy - CBE",66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2019,2019,"1M1PN4GY9KM0","1M1PN4GY9KM0",1,"M",1,"P","N",4,"G","Y",9,"K","M",0,1,"One Trailing Unit",57,"US DOT",1280312,1280312,571280312,571280312,3,"26,001 lbs. or more",6,"Truck Tractor/Semi-Trailer",3,"Flatbed",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,888888888888,"Not Reported",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10336,2,1,1,1,1,1,6,"June",14,"2:00pm-2:59pm",8,8,14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",37,"Honda",705,"Honda 450-749 cc",80,"Two Wheel Motorcycle (excluding motor scooters)",1997,1997,"JH2RC4339VM2","JH2RC4339VM2","J","H",2,"R","C",4,3,3,9,"V","M",2,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",12,"12 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",1,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10368,2,1,0,"None",29,29,3,"March",9,"9:00am-9:59am",35,35,8,"Pedestrian",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",3,"Motor Vehicle Not In-Transport Outside the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",7,"Dodge",472,"Dodge Dakota",34,"Light Pickup",1992,1992,"1B7GL23Y0NS5","1B7GL23Y0NS5",1,"B",7,"G","L",2,3,"Y",0,"N","S",5,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",4,"4 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10428,2,1,1,1,16,16,7,"July",16,"4:00pm-4:59pm",57,57,8,"Pedestrian",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",20,"Chevrolet",403,"Chevrolet TrailBlazer (2003 on; for 2002 model, see 401)",14,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",2006,2006,"1GNDS13S0622","1GNDS13S0622",1,"G","N","D","S",1,3,"S",0,6,2,2,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",2,"Minor Damage",3,"Towed Not Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10438,2,1,0,"None",29,29,7,"July",18,"6:00pm-6:59pm",54,54,8,"Pedestrian",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",12,"Ford",881,"Ford Medium/Heavy - CBE",62,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)",2015,2015,"3FRWX6FC4FV7","3FRWX6FC4FV7",3,"F","R","W","X",6,"F","C",4,"F","V",7,0,"No Trailing Units",57,"US DOT",2969591,2969591,572969591,572969591,2,"10,001 lbs - 26,000 lbs",1,"Single-Unit Truck (2- axle and GVWR more than 10,000 lbs)",96,"No Cargo Body Type",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",10,"10 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10513,2,1,0,"None",27,27,8,"August",19,"7:00pm-7:59pm",21,21,14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",20,"Chevrolet",421,"Chevrolet Fullsize Blazer/Tahoe",15,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",1994,1994,"1GNEK18K7RJ4","1GNEK18K7RJ4",1,"G","N","E","K",1,8,"K",7,"R","J",4,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",12,"12 Clock Point",4,"Functional Damage",5,"Not Towed",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10535,2,1,1,1,19,19,9,"September",10,"10:00am-10:59am",30,30,45,"Working Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",4,"Working Motor Vehicle (highway construction, maintenance, utility only)",0,"No",1,"Alabama",3,"Vehicle Registered as Business/Company/Government Vehicle",12,"Ford",881,"Ford Medium/Heavy - CBE",61,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",2019,2019,"1FD0W5HT4KEC","1FD0W5HT4KEC",1,"F","D",0,"W",5,"H","T",4,"K","E","C",1,"One Trailing Unit",88,"None",888888888,"None",88888888888,"None",2,"10,001 lbs - 26,000 lbs",4,"Truck Pulling Trailer(s)",3,"Flatbed",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",1,"Yes",0,888888888888,"Not Reported",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10535,3,1,1,1,19,19,9,"September",10,"10:00am-10:59am",30,30,45,"Working Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",4,"Working Motor Vehicle (highway construction, maintenance, utility only)",0,"No",1,"Alabama",3,"Vehicle Registered as Business/Company/Government Vehicle",84,"International Harvester/Navistar",881,"International Harvester/Navistar Medium/Heavy - CBE",63,"Single-unit straight truck or Cab-Chassis (GVWR greater than 26,000 lbs.)",2019,2019,"1HTWHTAR9KH0","1HTWHTAR9KH0",1,"H","T","W","H","T","A","R",9,"K","H",0,1,"One Trailing Unit",88,"None",888888888,"None",88888888888,"None",3,"26,001 lbs. or more",4,"Truck Pulling Trailer(s)",4,"Dump",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",6,"Disabling Damage",2,"Towed Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,888888888888,"Not Reported",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10536,2,1,0,"None",6,6,9,"September",14,"2:00pm-2:59pm",35,35,14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",87,"Peterbilt",881,"Peterbilt Medium/Heavy - CBE",66,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",2003,2003,"1XP5DR8X03N5","1XP5DR8X03N5",1,"X","P",5,"D","R",8,"X",0,3,"N",5,1,"One Trailing Unit",57,"US DOT",154913,154913,57154913,57154913,3,"26,001 lbs. or more",6,"Truck Tractor/Semi-Trailer",3,"Flatbed",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",6,"6 Clock Point",4,"Functional Damage",3,"Towed Not Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,888888888888,"Not Reported",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
1,"Alabama",10536,3,1,0,"None",6,6,9,"September",14,"2:00pm-2:59pm",35,35,14,"Parked Motor Vehicle",0,"The First Harmful Event was Not a Collision with a Motor Vehicle in Transport",2,"Motor Vehicle Not In-Transport Within the Trafficway",0,"No",1,"Alabama",6,"Driverless/Motor Vehicle Parked/Stopped Off Roadway",20,"Chevrolet",481,"Chevrolet C, K, R, V-series pickup/Silverado",34,"Light Pickup",2008,2008,"1GBHC24658E2","1GBHC24658E2",1,"G","B","H","C",2,4,6,5,8,"E",2,0,"No Trailing Units",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable (N/A)",1,"No",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not Applicable",0,"Not a Bus",0,"No Special Use",0,"Not Applicable",0,"No Underride or Override Noted",9,"9 Clock Point",4,"Functional Damage",3,"Towed Not Due to Disabling Damage",12,"Motor Vehicle In-Transport",0,"None",0,"None",0,"No or Not Reported",0,777777777777,"No Trailing Units",777777777777,"No Trailing Units",777777777777,"No Trailing Units"
